5	4	2
3
4	20	100	10
262
1	1	104	6	(10,7),(41,15),(76,7),(92,18),(58,11),(84,14)
4	2	131	3	(10,17),(96,5),(50,12)
10	3	204	5	(132,15),(84,16),(43,10),(83,18),(180,20)
16	4	23	5	(14,16),(7,9),(10,5),(1,18),(6,16)
22	5	56	4	(17,11),(52,20),(0,19),(41,19)
22	6	10	2	(6,9),(9,15)
27	7	74	10	(61,19),(74,20),(65,20),(2,16),(51,13),(50,16),(69,15),(39,8),(22,6),(8,19)
30	8	86	8	(17,9),(63,16),(17,14),(73,12),(5,18),(62,9),(53,6),(76,12)
31	9	243	3	(77,14),(88,7),(236,10)
38	10	74	4	(21,20),(24,6),(31,16),(24,18)
42	11	104	6	(62,7),(42,6),(13,5),(22,11),(71,14),(62,17)
46	12	300	8	(18,17),(44,8),(209,19),(162,5),(63,14),(112,11),(133,17),(15,6)
46	13	47	0	
53	14	288	0	
59	15	214	9	(205,9),(121,18),(140,13),(67,14),(90,11),(103,10),(2,16),(206,8),(74,12)
64	16	268	1	(86,14)
69	17	187	0	
73	18	88	6	(85,5),(0,18),(83,11),(55,10),(77,6),(49,19)
75	19	184	5	(10,6),(128,15),(165,10),(156,17),(48,5)
79	20	34	9	(33,12),(27,20),(1,12),(14,8),(2,14),(2,13),(19,16),(21,18),(12,19)
80	21	73	3	(41,5),(31,8),(39,9)
87	22	297	4	(149,13),(175,9),(77,11),(75,17)
90	23	263	6	(211,15),(182,15),(42,12),(182,19),(121,16),(166,12)
91	24	182	3	(111,17),(82,16),(46,18)
94	25	130	2	(23,13),(120,12)
101	26	94	8	(63,9),(4,19),(67,19),(31,7),(41,6),(60,8),(46,8),(48,14)
101	27	179	0	
106	28	18	0	
108	29	251	6	(81,15),(92,10),(192,18),(93,13),(189,9),(118,14)
111	30	90	4	(58,12),(70,9),(67,7),(17,17)
115	31	230	6	(156,6),(125,18),(191,8),(122,20),(9,10),(204,9)
122	32	267	7	(16,5),(181,10),(169,11),(117,14),(124,7),(206,15),(59,7)
124	33	239	6	(11,6),(26,15),(125,8),(233,12),(10,15),(216,5)
131	34	229	5	(14,7),(194,6),(210,10),(6,20),(147,8)
134	35	106	2	(86,15),(32,6)
138	36	120	10	(74,16),(20,20),(30,20),(34,6),(18,11),(94,10),(6,13),(60,7),(82,5),(41,9)
144	37	37	0	
147	38	150	6	(41,18),(41,10),(14,9),(82,8),(77,8),(120,17)
152	39	154	10	(88,17),(17,6),(57,5),(108,14),(72,11),(32,20),(116,7),(12,7),(128,6),(39,17)
158	40	192	10	(105,11),(137,14),(171,18),(149,11),(76,11),(83,8),(62,5),(31,17),(62,10),(23,6)
165	41	185	0	
169	42	204	7	(197,13),(144,19),(196,13),(134,8),(186,15),(156,17),(116,14)
169	43	68	2	(65,14),(61,16)
174	44	163	4	(100,8),(134,15),(40,15),(137,16)
176	45	102	9	(85,11),(51,15),(21,5),(12,18),(47,11),(44,5),(89,12),(5,13),(81,14)
183	46	284	0	
185	47	57	9	(6,12),(55,11),(25,6),(20,16),(53,15),(2,19),(30,10),(8,11),(39,18)
186	48	129	2	(79,17),(104,7)
189	49	202	9	(134,5),(175,5),(95,19),(36,11),(38,6),(154,14),(17,16),(59,16),(72,9)
196	50	116	6	(20,14),(16,7),(97,19),(69,13),(25,11),(71,19)
196	51	126	2	(37,7),(100,5)
200	52	268	2	(202,11),(185,18)
204	53	299	0	
208	54	11	3	(10,18),(1,12),(11,6)
215	55	48	9	(43,19),(17,5),(13,13),(1,6),(2,12),(38,10),(9,13),(14,13),(16,20)
217	56	204	5	(18,15),(80,5),(21,11),(15,16),(17,12)
218	57	87	10	(58,12),(38,20),(78,18),(46,14),(78,5),(26,18),(21,18),(56,18),(19,18),(58,10)
222	58	151	10	(16,7),(81,13),(19,8),(35,14),(114,12),(61,7),(74,14),(129,14),(111,9),(105,17)
225	59	67	9	(4,10),(66,16),(12,18),(52,15),(42,7),(47,6),(19,5),(57,9),(14,12)
226	60	263	5	(153,6),(127,13),(248,9),(194,14),(159,18)
227	61	154	8	(86,14),(18,11),(89,19),(46,17),(56,11),(77,15),(101,9),(37,8)
229	62	144	10	(7,8),(39,14),(51,11),(53,17),(55,18),(68,7),(77,20),(50,8),(141,10),(124,13)
234	63	262	5	(66,8),(43,5),(79,14),(98,20),(242,16)
238	64	266	1	(90,12)
245	65	218	0	
249	66	82	6	(17,11),(47,19),(23,15),(9,15),(21,18),(78,16)
251	67	245	9	(155,16),(241,20),(51,6),(182,17),(186,12),(12,7),(125,15),(45,5),(129,6)
255	68	291	0	
257	69	183	10	(8,13),(123,7),(89,8),(12,8),(49,6),(18,13),(150,18),(69,14),(37,17),(103,18)
258	70	247	7	(223,18),(18,13),(217,5),(174,19),(7,9),(169,18),(213,19)
258	71	139	9	(59,9),(3,5),(0,7),(105,14),(109,17),(138,20),(87,17),(53,13),(124,14)
264	72	263	2	(117,14),(35,5)
266	73	235	3	(64,17),(211,15),(143,8)
269	74	122	10	(70,7),(109,11),(12,15),(86,15),(45,16),(25,17),(71,12),(96,14),(59,14),(63,15)
275	75	118	7	(51,15),(38,9),(75,9),(23,14),(77,13),(5,16),(3,5)
280	76	217	10	(113,19),(171,10),(0,13),(44,13),(88,8),(179,14),(22,13),(110,10),(204,15),(71,14)
281	77	187	0	
282	78	55	9	(21,14),(21,17),(41,18),(31,18),(0,11),(11,10),(3,18),(13,10),(43,5)
287	79	154	7	(129,14),(42,16),(54,13),(22,19),(19,10),(4,7),(122,15)
290	80	28	2	(20,18),(11,20)
292	81	185	5	(157,20),(165,15),(39,8),(37,19),(83,19)
299	82	108	5	(36,17),(32,18),(92,8),(27,11),(61,17)
301	83	93	4	(40,18),(82,12),(69,8),(21,7)
305	84	44	8	(35,17),(15,9),(36,16),(14,14),(5,12),(35,5),(10,6),(25,8)
310	85	131	10	(12,5),(119,13),(5,15),(5,16),(51,14),(119,14),(16,15),(61,20),(0,5),(103,16)
313	86	87	10	(51,12),(63,8),(84,14),(8,19),(42,18),(13,10),(43,9),(0,14),(23,14),(37,10)
